,vertex id,x,y
239,239,2.6864330612,5.8938314645
240,240,3.2237156135,6.2040316894
241,241,3.7609985273,5.2734270549
242,242,3.7609985273,5.8938312543
243,243,2.6864330612,5.2734268448
244,244,3.2237156135,4.9632266199
245,245,7.5219899151,11.7876616003
246,246,7.5219899151,12.4080647364
247,247,11.2829948111,16.4406869042
248,248,11.8202823793,16.1304837628
249,249,8.5965606161,16.1304840423
250,250,9.133846404,16.4406861365
251,251,9.6711326255,16.1304837919
252,252,10.2084194078,0.3102010036
253,253,6.984704839,7.7550404805
254,254,6.984704839,7.1346372652
255,255,7.5219899151,6.8244355818
256,256,7.5219899151,8.0652421639
257,257,6.4474198939,6.8244356575
258,258,5.9101350859,7.1346371861
259,259,5.3728504574,6.8244357612
260,260,5.3728504574,6.2040322663
261,261,8.0592751525,3.4122179219
262,262,9.133846404,3.4122181091
263,263,8.5965606161,3.1020160149
264,264,9.133846404,4.0326207638
265,265,8.5965606161,4.342822858
266,266,8.0592751525,4.032620951
267,267,7.5219899151,6.2040324457
268,268,7.5219899151,4.9632258636
269,269,8.0592751525,5.8938306692
270,270,8.0592751525,5.2734276401
271,271,5.3728504574,1.2408066066
272,272,5.3728504574,0.6204031117
273,273,4.8355660835,1.5510078844
274,274,4.2982820752,1.2408068176
275,275,5.9101350859,0.3102016868
276,276,6.4474198939,0.6204032153
277,277,6.984704839,2.1714113259
278,278,6.984704839,1.5510081106
279,279,7.5219899151,2.4816130093
280,280,7.5219899151,1.2408064272
281,281,8.0592751525,1.5510082037
282,282,8.0592751525,2.1714112328
283,283,12.8948539947,17.3712877898
284,284,13.4321529756,17.0610871834
285,285,8.0592751525,15.1998792602
286,286,0.5372974738,0.3102005425
287,287,3.2237156135,1.2408071835
288,288,3.2237156135,0.6204025348
289,289,2.6864330612,1.5510074084
290,290,2.1491518421,1.2408079325
291,291,3.7609985274,0.3102020997
292,292,4.2982820752,0.6204029007
293,293,4.8355660835,0.3102018339
294,294,0.5372974738,4.0326199789
295,295,12.3575728019,12.7182688827
296,296,12.3575728019,18.3018980373
297,297,11.2829948111,18.3018966224
298,298,11.8202823793,17.991693481
299,299,0.5372974738,18.3018966396
300,300,6.984704839,18.3018955744
301,301,6.984704839,16.4406858562
302,302,6.984704839,17.0610890715
